algoritmo,distribucion,tamaño,repeticion,tiempo_ms
MergeSort,casi,400,2,0.066000
MergeSort,casi,400,3,0.065000
CountingSort,casi,400,1,0.014000
CountingSort,casi,400,2,0.014000
CountingSort,casi,400,3,0.014000
TimSort,casi,400,1,0.032000
TimSort,casi,400,2,0.031000
TimSort,casi,400,3,0.031000
Seleccion,duplicados,400,1,0.333000
Seleccion,duplicados,400,2,0.356000
Seleccion,duplicados,400,3,0.348000
MergeSort,duplicados,400,1,0.069000
MergeSort,duplicados,400,2,0.068000
MergeSort,duplicados,400,3,0.067000
CountingSort,duplicados,400,1,0.012000
CountingSort,duplicados,400,2,0.012000
CountingSort,duplicados,400,3,0.011000
TimSort,duplicados,400,1,0.039000
TimSort,duplicados,400,2,0.038000
TimSort,duplicados,400,3,0.038000
Seleccion,aleatorio,500,1,0.539000
Seleccion,aleatorio,500,2,0.583000
Seleccion,aleatorio,500,3,0.547000
MergeSort,aleatorio,500,1,0.101000
MergeSort,aleatorio,500,2,0.106000
MergeSort,aleatorio,500,3,0.098000
CountingSort,aleatorio,500,1,0.020000
CountingSort,aleatorio,500,2,0.019000
CountingSort,aleatorio,500,3,0.020000
TimSort,aleatorio,500,1,0.063000
TimSort,aleatorio,500,2,0.060000
TimSort,aleatorio,500,3,0.061000
Seleccion,ordenado,500,1,0.525000
Seleccion,ordenado,500,2,0.511000
Seleccion,ordenado,500,3,0.567000
MergeSort,ordenado,500,1,0.073000
MergeSort,ordenado,500,2,0.072000
MergeSort,ordenado,500,3,0.072000
CountingSort,ordenado,500,1,0.018000
CountingSort,ordenado,500,2,0.017000
CountingSort,ordenado,500,3,0.018000
TimSort,ordenado,500,1,0.025000
TimSort,ordenado,500,2,0.025000
TimSort,ordenado,500,3,0.025000
Seleccion,reverso,500,1,0.548000
Seleccion,reverso,500,2,0.539000
Seleccion,reverso,500,3,0.547000
MergeSort,reverso,500,1,0.073000
MergeSort,reverso,500,2,0.072000
MergeSort,reverso,500,3,0.072000
CountingSort,reverso,500,1,0.018000
CountingSort,reverso,500,2,0.017000
CountingSort,reverso,500,3,0.017000
TimSort,reverso,500,1,0.066000
TimSort,reverso,500,2,0.065000
TimSort,reverso,500,3,0.065000
Seleccion,casi,500,1,0.519000
Seleccion,casi,500,2,0.511000
Seleccion,casi,500,3,0.518000
MergeSort,casi,500,1,0.085000
MergeSort,casi,500,2,0.083000
MergeSort,casi,500,3,0.083000
CountingSort,casi,500,1,0.016000
CountingSort,casi,500,2,0.016000
CountingSort,casi,500,3,0.017000
TimSort,casi,500,1,0.038000
TimSort,casi,500,2,0.039000
